Timestamp,Open price,Close price,High price,Low price,Volume
2023-02-22 19:45:00,23714,23653,23722.5,23563,19927114
2023-02-22 20:00:00,23653,23614.5,23674,23603.5,9074845
2023-02-22 20:15:00,23614.5,23718.5,23748,23614,6473011
2023-02-22 20:30:00,23718.5,23775,23794,23717,16466628
2023-02-22 20:45:00,23775,23757.5,23781,23720.5,4706030
2023-02-22 21:00:00,23757.5,23786,23822.5,23744.5,10436161
2023-02-22 21:15:00,23786,23843,23843,23786,5377702
2023-02-22 21:30:00,23843,23839.5,23843.5,23800,4537243
2023-02-22 21:45:00,23839.5,23750,23840,23729,11522553
2023-02-22 22:00:00,23750,23844,23983,23667.5,43505966
2023-02-22 22:15:00,23844,23846.5,23930,23742,9317405
2023-02-22 22:30:00,23846.5,23802.5,23846.5,23739.5,8342212
2023-02-22 22:45:00,23802.5,23804,23910,23770.5,4919864
